time,open,high,low,close,volume,spread
2026-02-16 03:45:00+00:00,5030.18,5030.63,5025.41,5028.81,2290.0,47.0
2026-02-16 04:00:00+00:00,5028.84,5031.18,5020.39,5022.02,3276.0,46.0
2026-02-16 04:15:00+00:00,5022.11,5026.01,5018.81,5019.41,2021.0,46.0
2026-02-16 04:30:00+00:00,5019.4,5021.72,5002.28,5002.31,3591.0,47.0
2026-02-16 04:45:00+00:00,5002.35,5003.16,4992.08,4994.51,3377.0,47.0
2026-02-16 05:00:00+00:00,4994.47,4999.86,4988.71,4997.32,3532.0,47.0
2026-02-16 05:15:00+00:00,4997.33,4998.41,4993.45,4994.78,2318.0,47.0
2026-02-16 05:30:00+00:00,4994.79,4996.63,4989.06,4990.77,2638.0,47.0
2026-02-16 05:45:00+00:00,4990.78,4993.6,4975.9,4987.51,3112.0,48.0
2026-02-16 06:00:00+00:00,4987.5,4991.93,4973.59,4976.58,3275.0,49.0
2026-02-16 06:15:00+00:00,4976.55,4980.14,4973.2,4976.33,2193.0,45.0
2026-02-16 06:30:00+00:00,4976.31,4978.19,4973.54,4975.92,2274.0,47.0
2026-02-16 06:45:00+00:00,4975.9,4980.01,4974.1,4977.62,2460.0,47.0
2026-02-16 07:00:00+00:00,4977.59,4985.42,4965.17,4983.25,3384.0,47.0
2026-02-16 07:15:00+00:00,4983.31,4988.45,4983.04,4986.2,1922.0,47.0
2026-02-16 07:30:00+00:00,4986.21,4989.91,4982.81,4985.74,1728.0,49.0
2026-02-16 07:45:00+00:00,4985.61,4990.57,4984.76,4990.57,2236.0,47.0
2026-02-16 08:00:00+00:00,4990.62,4992.7,4987.48,4990.04,1942.0,48.0
2026-02-16 08:15:00+00:00,4990.07,4994.66,4984.89,4992.96,2246.0,47.0
2026-02-16 08:30:00+00:00,4992.97,5002.98,4990.42,5002.26,2373.0,47.0
2026-02-16 08:45:00+00:00,5002.24,5002.6,4993.99,4994.76,2177.0,47.0
2026-02-16 09:00:00+00:00,4994.75,4997.77,4989.01,4996.23,2025.0,46.0
2026-02-16 09:15:00+00:00,4996.18,4999.39,4993.96,4997.95,1042.0,46.0
2026-02-16 09:30:00+00:00,4997.88,5005.94,4996.79,5001.33,1711.0,30.0
2026-02-16 09:45:00+00:00,5001.29,5009.98,5000.95,5007.11,2182.0,45.0
2026-02-16 10:00:00+00:00,5007.19,5013.12,4996.26,4998.1,2970.0,45.0
2026-02-16 10:15:00+00:00,4998.05,5006.43,4995.67,5006.08,2424.0,46.0
2026-02-16 10:30:00+00:00,5006.1,5008.59,5004.75,5006.29,2169.0,46.0
2026-02-16 10:45:00+00:00,5006.28,5009.98,5003.5,5007.91,1952.0,46.0
2026-02-16 11:00:00+00:00,5007.9,5015.29,5007.78,5011.05,1688.0,46.0
2026-02-16 11:15:00+00:00,5011.06,5016.03,5011.0,5013.33,1768.0,45.0
2026-02-16 11:30:00+00:00,5013.34,5014.64,5009.98,5010.49,1315.0,46.0
2026-02-16 11:45:00+00:00,5010.5,5017.1,5008.4,5013.34,1908.0,46.0
2026-02-16 12:00:00+00:00,5013.28,5017.11,5006.58,5007.56,1761.0,45.0
2026-02-16 12:15:00+00:00,5007.44,5012.07,5004.62,5004.99,1897.0,45.0
2026-02-16 12:30:00+00:00,5004.81,5009.78,5000.17,5008.28,2366.0,46.0
2026-02-16 12:45:00+00:00,5008.29,5010.76,5005.49,5005.96,1277.0,46.0
2026-02-16 13:00:00+00:00,5005.95,5007.0,4998.81,5001.05,1781.0,45.0
2026-02-16 13:15:00+00:00,5001.06,5005.4,4999.76,5004.47,1646.0,45.0
2026-02-16 13:30:00+00:00,5004.54,5006.74,5002.76,5006.51,1183.0,46.0
2026-02-16 13:45:00+00:00,5006.48,5007.96,5001.91,5004.28,1543.0,46.0
2026-02-16 14:00:00+00:00,5004.22,5004.84,4997.54,4997.58,2019.0,45.0
2026-02-16 14:15:00+00:00,4997.57,4999.24,4992.82,4996.19,2364.0,46.0
2026-02-16 14:30:00+00:00,4996.18,5007.9,4994.97,5004.88,2759.0,46.0
2026-02-16 14:45:00+00:00,5004.86,5005.71,4999.18,5001.83,1584.0,45.0
2026-02-16 15:00:00+00:00,5001.79,5003.61,4997.78,4997.92,1382.0,45.0
